-3.0, 1.0, 0.5, -2.5, 3.0, -0.5, 2.0, -1.0, -2.0, 1.5, -4.0, 0.2, -1.5, 2.5, -0.8, 3.5, -2.0, 4.0
parameter ends

state | action | reward
1.4251037006275653 | [-9.71 -5.88] | 1.357779070747012
1.5121661213814952 | [-10.25  -4.67] | 1.4037744943867685
1.5981576724547677 | [-10.86  -2.59] | 1.442258261908107
1.6830163125471702 | [-11.35  -1.42] | 1.3112051764699504
1.7616233048290912 | [-11.81  -0.36] | 1.2556981185005314
1.8366666386086623 | [-12.35   1.28] | 1.411776419796193
1.9147863381959878 | [-13.08   4.78] | 1.63107404363156
1.9979946125451655 | [-13.12   8.97] | -0.16602771415342107
1.9728398913664769 | [-9.29 15.59] | -0.5914786406389985
1.9209687598589327 | [-9.53 16.92] | -0.44555938862862665
1.8756836421642442 | [-9.43 18.17] | -0.42864401717540074
1.8303586808362409 | [-9.09 19.32] | -0.48438943941048496
1.7821646188072424 | [-8.67 20.32] | -0.5772160861995321
1.7303485115914568 | [-8.23 21.26] | -0.696264997381719
1.674665728434103 | [-7.81 22.19] | -0.8371910983438668
1.6149788557402935 | [-7.41 23.17] | -0.996654221350115
1.551207521198077 | [-7.03 24.2 ] | -1.17012513497375
1.4833822745661729 | [-6.69 25.25] | -1.3502875124928937
1.4117452077056796 | [-6.36 26.25] | -1.5260879069603595
1.3368571463449448 | [-6.05 27.09] | -1.6833311350783016
1.259644311300156 | [-5.74 27.67] | -1.808155635334453
1.1813039385253221 | [-5.41 27.94] | -1.8922526056450162
1.1030611575079976 | [-5.05 27.92] | -1.935971625078535
1.0258960394580134 | [-4.64 27.7 ] | -1.946977972126776
0.9504087403616334 | [-4.19 27.36] | -1.9354717341122283
0.8768826393481741 | [-3.71 26.96] | -1.9103264869133354
0.8053877370323488 | [-3.2  26.51] | -1.878017732569149
0.7358529710017706 | [-2.67 26.05] | -1.8414933210802387
0.6681450958037143 | [-2.12 25.55] | -1.801249680036084
0.6021481539694039 | [-1.57 25.04] | -1.0585287147454767
0.5637000650466842 | [1.71 7.16] | -0.4224062289370883
0.5370872346072375 | [ 1.7 10. ] | -0.5314125438082581
0.48845045782588753 | [ 1.63 12.96] | -0.5364980956209183
0.4232088829602655 | [ 1.69 14.88] | -0.4465409412471966
0.3456573287534114 | [ 1.82 16.31] | -0.29973549379274217
0.2579611052726583 | [ 2.03 17.49] | -0.11519015434830676
0.16113656955628738 | [ 2.35 18.45] | 0.09744060985118831
0.05593502538314501 | [ 2.82 19.16] | 0.3281995156150902
-0.05643958554567609 | [ 3.42 19.52] | 0.561674317669649
-0.17394024195865115 | [ 4.12 19.44] | 0.7776895448656612
-0.29387977444199875 | [ 4.89 18.92] | 0.9560208159734847
-0.41364373165883095 | [ 5.68 18.06] | 1.0865938087773241
-0.5313326040160046 | [ 6.45 16.98] | 1.1724879155794314
-0.6459306884854905 | [ 7.19 15.8 ] | 1.2221174043729595
-0.7570105589902455 | [ 7.89 14.6 ] | 1.243120704949115
-0.8643342535039128 | [ 8.52 13.42] | 1.240219128913601
-0.967592653281392 | [ 9.07 12.26] | 1.2160854775100716
-1.0663523969328232 | [ 9.52 11.13] | 1.1733556058169403
-1.1601523858604261 | [ 9.86 10.03] | 1.1160375510101426
-1.2486445890524862 | [10.12  8.98] | 1.0497283922510912
-1.331703522740266 | [10.33  7.97] | 0.9810058700994789
-1.4094803517272405 | [10.52  7.01] | 0.9165694480693388
-1.4824091593253295 | [10.73  6.09] | 0.8624839839813006
-1.5511810902008676 | [11.01  5.22] | 0.8235487687354868
-1.6166964726832906 | [11.37  4.39] | 0.3212845495147986
-1.6491218506504386 | [ 4.16 -1.37] | -0.7495355321011382
