4.7, 3.3, 2.7, -0.4, -2.4, -1.0, 3.6, 1.1, -3.8, -0.6, 2.7, 1.8, -0.6, -3.1, -2.3, 4.8, 4.1, -1.8
parameter ends

state | action | reward
-0.08532787050217028 | [12.79 -0.94] | -0.04305897465145861
-0.0830262204680178 | [12.8  -0.93] | -0.04280105739611964
-0.08074133289118236 | [12.81 -0.92] | -0.04254743092335182
-0.07847297356072795 | [12.82 -0.92] | -0.042297998108944676
-0.07622091326412188 | [12.83 -0.91] | -0.042052666306558364
-0.07398492754092607 | [12.84 -0.9 ] | -0.04181134590595745
-0.07176479652731248 | [12.85 -0.9 ] | -0.04157394978729852
-0.06956030483291836 | [12.86 -0.89] | -0.04134039320773913
-0.06737124142321607 | [12.87 -0.88] | -0.04111059375277505
-0.06519739950370201 | [12.88 -0.88] | -0.04088447127109722
-0.06303857640708481 | [12.89 -0.87] | -0.04066194780014565
-0.0608945734841123 | [12.9  -0.86] | -0.040442947492248735
-0.05876519599803316 | [12.91 -0.86] | -0.040227396544065944
-0.056650253022525354 | [12.92 -0.85] | -0.04001522312912743
-0.054549557342936046 | [12.92 -0.84] | -0.039806357333065645
-0.05246292536069912 | [12.93 -0.84] | -0.03960079185015514
-0.050390172613413775 | [12.94 -0.83] | -0.03939884317200158
-0.04833109121863509 | [12.95 -0.83] | -0.03920034700568423
-0.04628548474908349 | [12.96 -0.82] | -0.03900488345693559
-0.04425318412636283 | [12.97 -0.81] | -0.03881228949610948
-0.042234029994500835 | [12.98 -0.81] | -0.038622520665397786
-0.04022786498775831 | [12.99 -0.8 ] | -0.03843554390833203
-0.038234533116850114 | [13.   -0.79] | -0.03825131676691247
-0.036253880446494316 | [13.   -0.79] | -0.03806979240315386
-0.03428575540243668 | [13.01 -0.78] | -0.037890923542001506
-0.032330008813282705 | [13.02 -0.78] | -0.03771466332616935
-0.030386493898692683 | [13.03 -0.77] | -0.03754096534179115
-0.0284550662573342 | [13.04 -0.76] | -0.037369783675904995
-0.026535583851109094 | [13.05 -0.76] | -0.037201073022253034
-0.024627906982114155 | [13.05 -0.75] | -0.037034788766729894
-0.022731898263669323 | [13.06 -0.75] | -0.03687088704281824
-0.0208474225873842 | [13.07 -0.74] | -0.036709324767023044
-0.018974347087550632 | [13.08 -0.74] | -0.036550059661331645
-0.017112541103693285 | [13.09 -0.73] | -0.03639305026610558
-0.015261876141895142 | [13.1  -0.72] | -0.03623825594563562
-0.013422225835373294 | [13.1  -0.72] | -0.036085636888128464
-0.011593465904672931 | [13.11 -0.71] | -0.035935154101434594
-0.009775474117757277 | [13.12 -0.71] | -0.03578676940564001
-0.007968130250208566 | [13.13 -0.7 ] | -0.0356404454231679
-0.006171316045703843 | [13.14 -0.7 ] | -0.03549614556715076
-0.004384915176891354 | [13.14 -0.69] | -0.03535383402838489
-0.002608813206763033 | [13.15 -0.68] | -0.035213475761364785
-0.0008428975505965074 | [13.16 -0.68] | -0.035075036469582155
0.0009129425614798306 | [13.17 -0.67] | -0.03493848259037967
0.0026588161212587956 | [13.17 -0.67] | -0.03480378127949092
0.004394830378535217 | [13.18 -0.66] | -0.03467090039543873
0.006121090876476255 | [13.19 -0.66] | -0.03453980848388867
0.007837701486269654 | [13.2  -0.65] | -0.03441047476202068
0.009544764441043777 | [13.2  -0.65] | -0.03428286910305498
0.011242380369057663 | [13.21 -0.64] | -0.03415696202088691
0.012930648326163516 | [13.22 -0.64] | -0.0340327246549673
0.014609665827546796 | [13.23 -0.63] | -0.033910128755412244
0.01627952887875101 | [13.23 -0.63] | -0.03378914666835452
0.01794033200599727 | [13.24 -0.62] | -0.0336697513215992
0.019592168285807763 | [13.25 -0.62] | -0.033551916210562596
0.021235129373946258 | [13.26 -0.61] | -0.03343561538450644
0.022869305533687947 | [13.26 -0.61] | -0.033320823433108604
0.02449478566343145 | [13.27 -0.6 ] | -0.03320751547330421
0.026111657323666274 | [13.28 -0.6 ] | -0.03309566713647555
0.027720006763310604 | [13.28 -0.59] | -0.03298525455594866
0.029319918945433197 | [13.29 -0.59] | -0.03287625435478502
0.030911477572372784 | [13.3  -0.58] | -0.032768643633896366
0.03249476511026986 | [13.3  -0.58] | -0.03266239996045703
0.03406986281302509 | [13.31 -0.57] | -0.03255750135662358
0.03563685074569778 | [13.32 -0.57] | -0.032453926288543
0.03719580780735837 | [13.33 -0.56] | -0.03235165365563646
0.03874681175340843 | [13.33 -0.56] | -0.03225066278020198
0.040289939217382775 | [13.34 -0.55] | -0.032150933397250864
0.04182526573224427 | [13.35 -0.55] | -0.03205244564464278
0.04335286575118717 | [13.35 -0.54] | -0.031955180053480435
0.044872812667959415 | [13.36 -0.54] | -0.03185911753873873
0.04638517883671746 | [13.37 -0.53] | -0.03176423939018348
0.04789003559142509 | [13.37 -0.53] | -0.03167052726349684
0.04938745326480817 | [13.38 -0.52] | -0.0315779631716723
0.05087750120687716 | [13.39 -0.52] | -0.03148652947660516
0.05236024780302829 | [13.39 -0.51] | -0.03139620888093828
0.05383576049173408 | [13.4  -0.51] | -0.03130698442010955
0.055304105781834485 | [13.4 -0.5] | -0.031218839454634068
0.056765349269438034 | [13.41 -0.5 ] | -0.03113175766254953
0.058219555654444234 | [13.42 -0.5 ] | -0.031045723032106717
0.059666788756696856 | [13.42 -0.49] | -0.03096071985463404
0.06110711153177626 | [13.43 -0.49] | -0.030876732717592403
